Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Number of Outputs,Output Power,Input Voltage,Output Voltage-Channel 1,Output Current-Channel 1,Output Voltage-Channel 2,Output Current-Channel 2,Isolation Voltage,Mounting Style,Package / Case,Length,Width,Height,Industry,Product,Series
490-PQME1-S5-S5-M-TR,PQME1-S5-S5-M-TR,CUI,https://www.mouser.com/datasheet/2/670/pqme1-m-1595940.pdf,470  In Stock,"=""$4.14""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PQME1-S5-S5-M-TR?qs=sGAEpiMZZMve4/bfQkoj%2BLPbnPdNw3jDaLFq4RfxVRg=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PQME1-S5-S5-M-TR&utm_content=CUI,1 Output,750 mW,4.75 V to 5.25 V,5 V,150 mA,,,1.5 kV,SMD/SMT,SMT-5,13.2 mm,8.5 mm,7.25 mm,Industrial,Isolated,PQME1-M
81-MYBSP0122BABFT,MYBSP0122BABFT,Murata Electronics,https://www.mouser.com/datasheet/2/281/Datasheet_MYBSP_170314-1489175.pdf,200  In Stock,"=""$31.94""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Murata-Electronics/MYBSP0122BABFT?qs=sGAEpiMZZMve4/bfQkoj%2BB2IT/DgZn9gl8ORWg/qblE=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MYBSP0122BABFT&utm_content=Murata-Electronics,1 Output,25.5 W,42.5 V to 57 V,12 VDC,"=""2.125 A""",,,2.25 kVDC,SMD/SMT,,35.5 mm,22.4 mm,10.55 mm,Industrial,Isolated,MYBSP
919-R1ZX-0505/P-R,R1ZX-0505/P-R,RECOM Power,https://www.mouser.com/datasheet/2/468/R1ZX-1531847.pdf,248  In Stock,"=""$7.61""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/R1ZX-0505-P-R?qs=sGAEpiMZZMve4/bfQkoj%2BOzUBdsausgF9sRpVQpPx4Y=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=R1ZX-0505/P-R&utm_content=RECOM-Power,1 Output,1 W,4.75 V to 5.25 V,5 V,200 mA,,,1 kVDC,SMD/SMT,,15.24 mm,11.1 mm,8.5 mm,Industrial,Isolated,R1ZX
492-B4414VH0E5035T02,BCM4414VH0E5035T02,Vicor,https://www.mouser.com/datasheet/2/685/ds-BCM4414xH0E5035yzz-VICOR-1588493.pdf,5  In Stock,"=""$843.75""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Vicor/BCM4414VH0E5035T02?qs=sGAEpiMZZMve4/bfQkoj%2BKocDruLW3fGleK%2BOj60qbs=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BCM4414VH0E5035T02&utm_content=Vicor,1 Output,,500 VDC to 800 VDC,40.6 V,"=""35 A""",,,4.3 kVDC,Chassis,"=""4414""",112.76 mm,35.54 mm,9.4 mm,"Industrial, Commercial",Isolated,BCM4414xD1E13A3yzz
492-VIT028H3U600C002,VIT028H3U600C002,Vicor,https://www.mouser.com/datasheet/2/685/ds-VIT028wxx600yzzz-VICOR-1545734.pdf,2  In Stock,"=""$6,173.76""",,New Product,https://www.mouser.com/ProductDetail/Vicor/VIT028H3U600C002?qs=sGAEpiMZZMve4/bfQkoj%2BDZeVVpbjY3BKpULHS683yM=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VIT028H3U600C002&utm_content=Vicor,6 Output,600 W,18 V to 50 V,12 V,"=""40 A""",5 V,"=""30 A""",500 VDC,Chassis,,168.5 mm,100 mm,24.15 mm,Commercial,Isolated,VITA 62
490-PQME1-S5-S12-MTR,PQME1-S5-S12-M-TR,CUI,https://www.mouser.com/datasheet/2/670/pqme1-m-1595940.pdf,488  In Stock,"=""$4.33""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PQME1-S5-S12-M-TR?qs=sGAEpiMZZMve4/bfQkoj%2BFR7rtYxrx9sUPQ1zLoJzuw=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PQME1-S5-S12-M-TR&utm_content=CUI,1 Output,750 mW,4.75 V to 5.25 V,12 V,62 mA,,,1.5 kV,SMD/SMT,SMT-5,13.2 mm,8.5 mm,7.25 mm,Industrial,Isolated,PQME1-M
490-PDSE1-S5-D5-M-TR,PDSE1-S5-D5-M-TR,CUI,https://www.mouser.com/datasheet/2/670/pdse1-m-1596038.pdf,493  In Stock,"=""$6.32""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PDSE1-S5-D5-M-TR?qs=sGAEpiMZZMve4/bfQkoj%2BI5y9/5AQ0SYs9gl9vp2UY4=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PDSE1-S5-D5-M-TR&utm_content=CUI,2 Output,1 W,4.5 V to 5.5 V,5 V,100 mA,- 5 V,- 100 mA,1.5 kV,SMD/SMT,SMT-5,15.24 mm,8.5 mm,7.25 mm,Commercial,Isolated,PDSE1-M
490-PYBE20-Q48-S24,PYBE20-Q48-S24,CUI,https://www.mouser.com/datasheet/2/670/pybe20-1525738.pdf,78  In Stock,"=""$25.81""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE20-Q48-S24?qs=sGAEpiMZZMve4/bfQkoj%2BNLwi0ZbHym8Pl94CK3NXTo=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE20-Q48-S24&utm_content=CUI,1 Output,20 W,18 V to 75 V,24 V,834 mA,,,1.5 kV,Through Hole,,50.8 mm,25.4 mm,11.8 mm,,Isolated,PYBE20
492-VIT270H3U600C002,VIT270H3U600C002,Vicor,https://www.mouser.com/datasheet/2/685/ds-VIT270wxx600yzzz-VICOR-1509685.pdf,2  In Stock,"=""$5,500.00""",,New Product,https://www.mouser.com/ProductDetail/Vicor/VIT270H3U600C002?qs=sGAEpiMZZMve4/bfQkoj%2BO0bwa1KTkJkItXsciK%2BsTY=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VIT270H3U600C002&utm_content=Vicor,6 Output,600 W,270 VDC,12 VDC,"=""40 A""",5 VDC,"=""30 A""",1 kVDC,,,,,,Industrial,Isolated,VITA 62
580-DCQ0150V2NBC,DCQ0150V2NBC,Murata Power Solutions,https://www.mouser.com/datasheet/2/281/murata_09182018_SDC_DSQ_DAQ_DCQ0150V2_A01D08.indd-1480718.pdf,24  In Stock,"=""$91.88""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Murata-Power-Solutions/DCQ0150V2NBC?qs=sGAEpiMZZMve4/bfQkoj%2BJA%2Bwf0juUHWZinWfaLd21k=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DCQ0150V2NBC&utm_content=Murata-Power-Solutions,1 Output,600 W,48 V,12 VDC,"=""50 A""",,,,Through Hole,,58.4 mm,36.8 mm,13.21 mm,Industrial,Non-Isolated / POL,DCQ
490-PYBE20-Q48S24DIN,PYBE20-Q48-S24-DIN,CUI,https://www.mouser.com/datasheet/2/670/pybe20-din-1525745.pdf,41  In Stock,"=""$40.65""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE20-Q48-S24-DIN?qs=sGAEpiMZZMve4/bfQkoj%2BDvOMl3J/Vm2dvBBcccp0lg=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE20-Q48-S24-DIN&utm_content=CUI,1 Output,20 W,18 V to 75 V,24 V,834 mA,,,1.5 kV,DIN Rail,,76 mm,31.5 mm,25.8 mm,,Isolated,PYBE20
490-PESE1-S5-D12-MTR,PESE1-S5-D12-M-TR,CUI,https://www.mouser.com/datasheet/2/670/pese1-m-1596013.pdf,499  In Stock,"=""$4.29""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PESE1-S5-D12-M-TR?qs=sGAEpiMZZMve4/bfQkoj%2BB7bbyYJPeHbok9IeKuI8TY=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PESE1-S5-D12-M-TR&utm_content=CUI,2 Output,1 W,4.5 V to 5.5 V,12 V,42 mA,- 12 V,- 42 mA,3 kV,SMD/SMT,SMT-5,15.24 mm,8.5 mm,7.25 mm,Commercial,Isolated,PESE1-M
490-PDSE1-S5-S5-M-TR,PDSE1-S5-S5-M-TR,CUI,https://www.mouser.com/datasheet/2/670/pdse1-m-1596038.pdf,"1,496  In Stock","=""$5.91""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PDSE1-S5-S5-M-TR?qs=sGAEpiMZZMve4/bfQkoj%2BJM1eg1FBeRZIP9EE6al3iY=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PDSE1-S5-S5-M-TR&utm_content=CUI,1 Output,1 W,4.5 V to 5.5 V,5 V,200 mA,,,1.5 kV,SMD/SMT,SMT-5,13.2 mm,8.5 mm,7.25 mm,Commercial,Isolated,PDSE1-M
490-PDSE1-S5-S12-MTR,PDSE1-S5-S12-M-TR,CUI,https://www.mouser.com/datasheet/2/670/pdse1-m-1596038.pdf,500  In Stock,"=""$6.32""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PDSE1-S5-S12-M-TR?qs=sGAEpiMZZMve4/bfQkoj%2BPsCTgHcmUWouTLtp4CIF5I=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PDSE1-S5-S12-M-TR&utm_content=CUI,1 Output,1 W,4.5 V to 5.5 V,12 V,84 mA,,,1.5 kV,SMD/SMT,SMT-5,13.2 mm,8.5 mm,7.25 mm,Commercial,Isolated,PDSE1-M
490-PYBE20-Q24S24DIN,PYBE20-Q24-S24-DIN,CUI,https://www.mouser.com/datasheet/2/670/pybe20-din-1525745.pdf,46  In Stock,"=""$40.65""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE20-Q24-S24-DIN?qs=sGAEpiMZZMve4/bfQkoj%2BAe5FSfu9wR3A9p2UqC1nQE=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE20-Q24-S24-DIN&utm_content=CUI,1 Output,20 W,9 V to 36 V,24 V,834 mA,,,1.5 kV,DIN Rail,,76 mm,31.5 mm,25.8 mm,,Isolated,PYBE20
